"ID","Group","Status","Speaker","Text","File name"
1,"",0,"Microsoft Zira Desktop","yo dude, I have some weird shit I'm gonna tell ya later.","Roommate Monologue 0"
1,"",0,"Microsoft Zira Desktop","Every night I have the same dream...","Roommate Monologue 1"
1,"",0,"Microsoft Zira Desktop","I'm chasing a cat down the street, and just as I'm about to catch up to it, the cat turns. It has your face.","Roommate Monologue 2"
1,"",0,"Microsoft Zira Desktop","The you-cat gives out a loud hiss. So I crouch down, trying to approach the cat, gently. Calm.","Roommate Monologue 3"
1,"",0,"Microsoft Zira Desktop","And you're still hissing while I crouch and approach but you don't scratch me or move away.","Roommate Monologue 4"
1,"",0,"Microsoft Zira Desktop","Instead, when my hand gets to your head to give you some of the good good scratches... The cat turns into MY MOTHER.","Roommate Monologue 5"
1,"",0,"Microsoft Zira Desktop","And then I wake up and I've wet the bed... This happens every night... My sheets are so fucked up.","Roommate Monologue 6"
1,"",0,"Microsoft Zira Desktop","We've known each other for so long that this shouldn't bother you.","Roommate Monologue 7"
1,"",0,"Microsoft Zira Desktop","Anyway, in the dream, you're the cat and then you turn into my mom.","Roommate Monologue 8"
1,"",0,"Microsoft Zira Desktop","What does it all mean? I'll tell you what it means... Oh wait, I think you're getting a call.","Roommate Monologue 9"
1,"",0,"Microsoft Zira Desktop","Sometimes I think about being a kid. You know, when our mom's would gossip together about Glorf whateverthefuck news while we'd play outside of the hyperscope.","Roommate Monologue 10"
1,"",0,"Microsoft Zira Desktop","Ding ding! My mom would ring the blinner bell for us to come back inside. We'd start to head inside and you'd get in and she'd stop me before I could and look at me.","Roommate Monologue 11"
1,"",0,"Microsoft Zira Desktop","And she'd look at me and say 'Yinkel would've sniffed it better'... Every fucking day. She said this fucking thing to me.","Roommate Monologue 12"
1,"",0,"Microsoft Zira Desktop","What does it even mean dude? I don't know. I'm sure you don't know either.","Roommate Monologue 13"
1,"",0,"Microsoft Zira Desktop","But yeah back to my dream... So I'm chasing you, the cat. Am I chasing you to get inside the house? Before my mom can complain to me about... About Yinkel?","Roommate Monologue 14"
1,"",0,"Microsoft Zira Desktop","I don't think that's what the dream means... Who the fuck even was Yinkel? God...","Roommate Monologue 15"
1,"",0,"Microsoft Zira Desktop","Yeah but I think the dream is about... about the cornmaze dude...","Roommate Monologue 16"
1,"",0,"Microsoft Zira Desktop","Hah. Yeah. I got ya with the hooker, you're stuck deep in your job now, and ya can't run outta the room... Can't run away from your problems.","Roommate Monologue 17"
1,"",0,"Microsoft Zira Desktop","CAN'T RUN AWAY FROM OUR PROBLEMS... WHAT THE FUCK BRO?????? Why?","Roommate Monologue 18"
1,"",0,"Microsoft Zira Desktop","Your clumsly little legs you're always tripping all over them... You had to fall on your face with your legs tied up in a knot like that...","Roommate Monologue 19"
1,"",0,"Microsoft Zira Desktop","Oh yeah! I'll just help 'em up! No problemo! It's me friend! We're in a cornmaze!'","Roommate Monologue 20"
1,"",0,"Microsoft Zira Desktop","The cornmaze is haunted! We want to leave! Let me help my friend up because my friend fell on the ground because of my friend having 8 octopus legs.","Roommate Monologue 21"
1,"",0,"Microsoft Zira Desktop","Yeah you had to fall with your stupid octopus legs on your face in the scariest corn maze of Glorf 31!","Roommate Monologue 22"
1,"",0,"Microsoft Zira Desktop","And then when I want to help my friend up my friend's like, 'oh, thank you Guambo.' AND THEN YOU PULL ME IN AND GIVE ME A KISS... ON MY LIPS...","Roommate Monologue 23"
1,"",0,"Microsoft Zira Desktop","Why did you kiss my lips? With your lips? We were in a haunted corn maze! There was a man with a chainsaw running after us!","Roommate Monologue 24"
1,"",0,"Microsoft Zira Desktop","Your eight legs were tied in a knot, and I had to untie them, and the kiss made untying them Super Weird.","Roommate Monologue 25"
1,"",0,"Microsoft Zira Desktop","And you know what dude? That wasn't even the worst part! I've specifically avoided mentioning it always!","Roommate Monologue 26"
1,"",0,"Microsoft Zira Desktop","When other people bring up kissing in front of us, you grimace, roll your eyes at me, and then RUN OUT OF THE ROOM.","Roommate Monologue 27"
1,"",0,"Microsoft Zira Desktop","YOU ARE THE CAT RUNNING AWAY FROM ME. IT'S NOT EVEN A METAPHOR. YOU are LITERALLY RUNNING AWAY FROM ME WHENEVER KISSING IS MENTIONED.","Roommate Monologue 28"
1,"",0,"Microsoft Zira Desktop","It it's not even necessarily about us... No, that's not the worst part... The worst part is that night after night I'm BLASTING my sheets with NO RELIEF in sight!","Roommate Monologue 29"
1,"",0,"Microsoft Zira Desktop","Like you make it so weird dude! We could just not mention it...","Roommate Monologue 30"
1,"",0,"Microsoft Zira Desktop","'Yinkel would've sniffed it better...' What does that even mean? Sniffed what? Who's Yinkel?","Roommate Monologue 31"
1,"",0,"Microsoft Zira Desktop","God dude, I'm so blazed right now.","Roommate Monologue 32"
1,"",0,"Microsoft Zira Desktop","Fuck you, fuck my mom... I'm gonna blast this couch... At least you couldn't run away this time...","Roommate Monologue 33"
1,"",0,"Microsoft David Desktop","Hello there. I am Dr. Elglore Smankoff, PHD. We at Glarblarf Inc have assigned you to monitor Glorf-31 activity at this world here, 'Earth.' We will be sending agents who want to, per say, 'mess with the earth,' over your way to be approved or disapproved by you, Lixel Zeoop, Glorf-31 citizen and valued employee of Glarblarf Inc. Press one of the buttons in front of you to start up your work for the day.","IntroCard info"
1,"",0,"Microsoft David Desktop","Would you say this paper mache donkey depicting a flatulating, gesticulating great ape properly represents the contemporary of the general human cognition?","Carr_1 info"
1,"",0,"Microsoft Zira Desktop","I think you need to include a little bit more common greater good egalitarianism energy or something.","Carr_1 d1 roommate"
1,"",0,"Microsoft Zira Desktop","Are donkeys not viabley connected to the greater good??? They're just horse babies, dude!","Carr_1 d2 roommate"
1,"",0,"Microsoft David Desktop","I would like to mine out some of the cave paintings found in Catalonia, bring them back to the Eternal Museum back on Glorf 31. It would contribute greatly to our collection of Earth artifacts. Can I have your go ahead?","Carr_2 info"
1,"",0,"Microsoft Zira Desktop","It looks like you sort of pissed off the Earthlings a bit there.","Carr_2 d1 roommate"
1,"",0,"Microsoft Zira Desktop","The camera: a useful earthling invention. Bro we would've never come up with such a toy, with our eye cones being so different.","Carr_2 d2 roommate"
1,"",0,"Microsoft David Desktop","I have an idea for an art installation to bring to Earth. It is to invert the colors of every object with visually metallic property, ie. roadsigns, buildings, volcanic activity. This is important for my and the entirety of Glorf 31's artistic expression and species signature upon the universe.","Carr_3 info"
